date,BIAŁYSTOK,BYDGOSZCZ,CZĘSTOCHOWA,GDAŃSK,GDYNIA,GLIWICE,KATOWICE,KIELCE,KRAKÓW,LUBLIN,POZNAŃ,RADOM,RZESZÓW,SOSNOWIEC,SZCZECIN,TORUŃ,WARSZAWA,WROCŁAW,ŁÓDŹ
2022-04-17,3063.0,8037.0,3548.0,10256.0,6821.0,4079.0,8909.0,3145.0,16925.0,6083.0,21989.0,2035.0,5972.0,3480.0,8647.0,3983.0,81562.0,25416.0,9687.0
2022-04-24,3214.0,8499.0,3802.0,11994.0,7596.0,4309.0,9460.0,3307.0,19284.0,6811.0,24997.0,2117.0,6224.0,3798.0,9962.0,4258.0,89248.0,29359.0,10804.0
2022-05-01,3264.0,8643.0,3910.0,12945.0,7921.0,4407.0,9739.0,3370.0,20908.0,7055.0,25580.0,2164.0,6325.0,4001.0,10379.0,4359.0,93020.0,31532.0,11312.0
2022-05-08,3429.0,9001.0,4207.0,15003.0,8409.0,4622.0,10387.0,3502.0,23769.0,7629.0,26759.0,2262.0,6675.0,4208.0,11335.0,4523.0,99635.0,36788.0,12440.0
2022-05-15,3494.0,9225.0,4380.0,15877.0,8668.0,4733.0,10712.0,3599.0,25251.0,7978.0,27484.0,2356.0,6867.0,4321.0,11812.0,4664.0,103750.0,38118.0,12989.0
2022-05-22,3552.0,9413.0,4508.0,16310.0,8891.0,4836.0,10973.0,3664.0,26445.0,8277.0,28043.0,2423.0,7023.0,4396.0,12215.0,4749.0,106238.0,39301.0,13444.0
2022-05-29,3590.0,9575.0,4600.0,16685.0,9045.0,4955.0,11221.0,3702.0,27363.0,8599.0,28640.0,2484.0,7184.0,4468.0,12464.0,4825.0,109291.0,40225.0,13894.0
2022-06-05,3651.0,9732.0,4661.0,17020.0,9181.0,5075.0,11444.0,3756.0,28329.0,8806.0,29237.0,2540.0,7281.0,4526.0,12727.0,4883.0,111969.0,41061.0,14311.0
2022-06-12,3701.0,9894.0,4750.0,17292.0,9323.0,5148.0,11593.0,3795.0,29068.0,9062.0,29737.0,2612.0,7385.0,4600.0,12979.0,4960.0,114188.0,41880.0,14644.0
2022-06-19,3738.0,9999.0,4805.0,17514.0,9428.0,5200.0,11769.0,3838.0,29703.0,9218.0,30073.0,2644.0,7505.0,4639.0,13142.0,5024.0,115146.0,42436.0,14910.0
2022-06-26,3776.0,10109.0,4856.0,17769.0,9548.0,5242.0,11901.0,3877.0,30309.0,9409.0,30290.0,2678.0,7611.0,4694.0,13333.0,5076.0,116226.0,43109.0,15210.0
2022-07-03,3819.0,10206.0,4941.0,17988.0,9636.0,5326.0,12025.0,3923.0,30873.0,9569.0,30555.0,2720.0,7709.0,4750.0,13511.0,5131.0,117454.0,43741.0,15470.0
2022-07-10,3862.0,10358.0,5041.0,18313.0,9787.0,5423.0,12227.0,3982.0,31518.0,9778.0,30851.0,2764.0,7835.0,4818.0,13771.0,5195.0,119016.0,44501.0,15870.0
2022-07-17,3909.0,10520.0,5124.0,18644.0,9954.0,5541.0,12372.0,4043.0,32153.0,10016.0,31222.0,2816.0,7950.0,4882.0,14018.0,5263.0,120560.0,45402.0,16240.0
2022-07-24,3946.0,10649.0,5214.0,18890.0,10092.0,5614.0,12576.0,4085.0,32717.0,10201.0,31458.0,2889.0,8083.0,4963.0,14227.0,5311.0,122186.0,46258.0,16520.0
2022-07-31,3984.0,10778.0,5285.0,19192.0,10195.0,5767.0,12806.0,4128.0,33374.0,10400.0,31776.0,2940.0,8203.0,5026.0,14535.0,5377.0,124228.0,47227.0,16825.0
2022-08-07,4041.0,10904.0,5375.0,19487.0,10314.0,5858.0,13035.0,4178.0,34082.0,10604.0,32134.0,2997.0,8331.0,5163.0,14824.0,5438.0,126319.0,48185.0,17046.0
2022-08-14,4105.0,11020.0,5473.0,19741.0,10413.0,5936.0,13199.0,4244.0,34795.0,10792.0,32477.0,3068.0,8437.0,5259.0,15081.0,5488.0,128316.0,49095.0,17385.0
2022-08-21,4153.0,11112.0,5530.0,19889.0,10489.0,6078.0,13391.0,4314.0,35408.0,10961.0,32723.0,3106.0,8565.0,5332.0,15314.0,5536.0,129872.0,49905.0,17665.0
2022-08-28,4189.0,11223.0,5613.0,20081.0,10614.0,6166.0,13601.0,4360.0,36069.0,11132.0,33040.0,3159.0,8685.0,5433.0,15667.0,5586.0,131816.0,50810.0,18003.0
2022-09-04,4219.0,11331.0,5688.0,20229.0,10713.0,6242.0,13780.0,4450.0,36606.0,11278.0,33279.0,3245.0,8799.0,5518.0,15908.0,5620.0,133295.0,51470.0,18317.0
2022-09-11,4296.0,11480.0,5767.0,20537.0,10847.0,6321.0,14003.0,4559.0,37277.0,11502.0,33655.0,3302.0,8939.0,5594.0,16210.0,5671.0,135201.0,52410.0,18660.0
2022-09-18,4313.0,11568.0,5816.0,20714.0,10943.0,6383.0,14144.0,4621.0,37686.0,11646.0,33933.0,3345.0,9071.0,5636.0,16393.0,5713.0,136438.0,52997.0,18875.0
2022-09-25,4341.0,11681.0,5943.0,20908.0,11030.0,6438.0,14298.0,4683.0,38121.0,11790.0,34296.0,3376.0,9219.0,5732.0,16619.0,5753.0,137839.0,53659.0,19146.0
2022-10-02,4375.0,11775.0,6024.0,21068.0,11108.0,6505.0,14412.0,4761.0,38515.0,11910.0,34597.0,3402.0,9301.0,5802.0,16779.0,5773.0,139033.0,54225.0,19358.0
2022-10-09,4428.0,11920.0,6143.0,21361.0,11253.0,6581.0,14641.0,4843.0,39306.0,12138.0,34998.0,3461.0,9445.0,5927.0,17087.0,5819.0,141391.0,55320.0,19717.0
2022-10-16,4201.0,11371.0,5930.0,20689.0,10921.0,6329.0,14017.0,4533.0,37862.0,11325.0,33536.0,3284.0,8582.0,5747.0,16552.0,5575.0,134066.0,53145.0,19043.0
2022-10-23,3676.0,10023.0,5231.0,18440.0,9751.0,5596.0,12157.0,3832.0,32912.0,9778.0,29373.0,2909.0,7195.0,5179.0,14959.0,4815.0,115296.0,47003.0,16937.0
2022-10-30,3401.0,9425.0,4818.0,16932.0,8948.0,5113.0,11139.0,3505.0,30230.0,8758.0,26741.0,2663.0,6448.0,4782.0,14057.0,4494.0,104823.0,43212.0,15814.0
2022-11-06,3415.0,9439.0,4829.0,16979.0,8940.0,5127.0,11173.0,3514.0,30363.0,8789.0,26711.0,2683.0,6458.0,4821.0,14114.0,4491.0,105259.0,43418.0,15872.0
2022-11-13,3424.0,9487.0,4854.0,17052.0,8975.0,5143.0,11213.0,3505.0,30522.0,8851.0,26700.0,2714.0,6508.0,4856.0,14164.0,4505.0,105786.0,43707.0,16015.0
2022-11-20,3421.0,9555.0,4893.0,17166.0,8986.0,5171.0,11223.0,3538.0,30823.0,8933.0,26799.0,2733.0,6579.0,4891.0,14230.0,4520.0,106471.0,44079.0,16206.0
2022-11-27,3209.0,9042.0,4552.0,16080.0,8484.0,4845.0,10296.0,3288.0,28239.0,8143.0,25063.0,2519.0,5877.0,4666.0,13634.0,4227.0,97017.0,41298.0,15423.0
2022-12-04,3204.0,9073.0,4568.0,16098.0,8519.0,4828.0,10287.0,3290.0,28281.0,8134.0,25051.0,2520.0,5838.0,4687.0,13675.0,4218.0,96956.0,41434.0,15520.0
2022-12-11,3217.0,9102.5,4604.5,16200.0,8570.0,4852.5,10365.5,3318.5,28607.5,8220.0,25130.5,2541.0,5851.5,4712.0,13747.0,4229.0,97768.5,41741.5,15642.0
2022-12-18,3230.0,9132.0,4641.0,16302.0,8621.0,4877.0,10444.0,3347.0,28934.0,8306.0,25210.0,2562.0,5865.0,4737.0,13819.0,4240.0,98581.0,42049.0,15764.0
2022-12-25,3253.0,9170.0,4645.0,16391.0,8686.0,4905.0,10469.0,3369.0,29137.0,8347.0,25309.0,2582.0,5885.0,4754.0,13865.0,4241.0,99057.0,42289.0,15865.0
2023-01-01,3271.5,9250.5,4680.0,16506.0,8748.5,4942.5,10529.5,3407.5,29458.5,8420.0,25423.5,2607.5,5941.5,4780.5,13978.5,4281.0,100024.5,42637.0,15968.0
2023-01-08,3290.0,9331.0,4715.0,16621.0,8811.0,4980.0,10590.0,3446.0,29780.0,8493.0,25538.0,2633.0,5998.0,4807.0,14092.0,4321.0,100992.0,42985.0,16071.0
2023-01-15,3301.5,9400.0,4732.0,16744.5,8839.5,5013.5,10659.5,3478.5,30085.5,8589.0,25639.5,2660.0,6061.0,4830.5,14181.0,4344.0,101842.5,43330.5,16234.5
2023-01-22,3313.0,9469.0,4749.0,16868.0,8868.0,5047.0,10729.0,3511.0,30391.0,8685.0,25741.0,2687.0,6124.0,4854.0,14270.0,4367.0,102693.0,43676.0,16398.0
2023-01-29,3338.0,9513.0,4770.0,17005.0,8896.0,5088.0,10840.0,3570.0,30780.0,8762.0,25949.0,2705.0,6197.0,4879.0,14362.0,4395.0,103943.0,44044.0,16545.0
2023-02-05,3336.0,9493.0,4760.0,16978.0,8878.0,5066.0,10806.0,3540.0,30679.0,8708.0,25839.0,2707.0,6149.0,4838.0,14284.0,4365.0,103808.0,43911.0,16432.0
2023-02-12,3366.0,9526.0,4812.0,17085.0,8932.0,5097.0,10887.0,3609.0,31035.0,8846.0,26021.0,2724.0,6222.0,4861.0,14361.0,4375.0,104496.0,44283.0,16564.0
2023-02-19,3371.5,9579.5,4827.0,17171.5,8961.0,5123.5,10941.0,3647.5,31341.5,8934.0,26136.5,2739.0,6281.0,4886.5,14422.0,4376.5,105158.5,44547.5,16650.0
2023-02-26,3377.0,9633.0,4842.0,17258.0,8990.0,5150.0,10995.0,3686.0,31648.0,9022.0,26252.0,2754.0,6340.0,4912.0,14483.0,4378.0,105821.0,44812.0,16736.0
